report_date,in_pt_adult,in_pt_adult_avg,in_pt_peds,in_pt_peds_avg,in_pt_pct,in_pt_pct_avg,icu_adult,icu_adult_avg,mortality,mortality_avg,new_in_pt_adult,new_in_pt_adult_avg,new_in_pt_peds,new_in_pt_peds_avg
2021-07-18,1444,1371.857142857143,53,53.142857142857146,0.112193659596792,0.10611525639292085,513,481.42857142857144,22,18.714285714285715,303,312.14285714285717,27,31
2021-07-19,1485,1397.4285714285713,55,53.857142857142854,0.131153125532277,0.10838331502271857,525,492,18,19.142857142857142,347,315.7142857142857,34,31
2021-07-20,1583,1436.5714285714287,57,55.142857142857146,0.132439634983445,0.11159615358749943,530,501.42857142857144,18,18.857142857142858,366,321.2857142857143,31,30.857142857142858
2021-07-21,1635,1474.5714285714287,67,56.857142857142854,0.119614871038021,0.11456583203040557,537,509.57142857142856,13,18,367,331.2857142857143,31,29
2021-07-22,1633,1504.857142857143,61,57.142857142857146,0.119691938104995,0.11711050042965486,524,514.4285714285714,16,17.285714285714285,368,339.42857142857144,40,30.285714285714285
2021-07-23,1709,1551,79,60.57142857142857,0.126745587297087,0.12078406451273042,542,522.7142857142857,23,18.142857142857142,366,345.85714285714283,37,31.857142857142858
2021-07-24,1685,1596.2857142857142,62,62,0.128154342723005,0.12428473703937457,541,530.2857142857143,33,20.428571428571427,331,349.7142857142857,28,32.57142857142857
2021-07-25,1675,1629.2857142857142,59,62.857142857142854,0.130072762733478,0.1268388946303297,542,534.4285714285714,20,20.142857142857142,329,353.42857142857144,23,32
2021-07-26,1773,1670.4285714285713,55,62.857142857142854,0.151613170772166,0.12976175823602815,574,541.4285714285714,21,20.571428571428573,423,364.2857142857143,33,31.857142857142858
2021-07-27,1863,1710.4285714285713,58,63,0.151594065656566,0.13249810547504542,610,552.8571428571429,13,19.857142857142858,420,372,41,33.285714285714285
2021-07-28,1910,1749.7142857142858,63,62.42857142857143,0.136097123542802,0.13485271297572843,612,563.5714285714286,13,19.857142857142858,463,385.7142857142857,35,33.857142857142854
2021-07-29,1946,1794.4285714285713,56,61.714285714285715,0.137528336882599,0.13740076994395756,625,578,24,21,470,400.2857142857143,31,32.57142857142857
2021-07-30,1997,1835.5714285714287,52,57.857142857142854,0.140882838283828,0.13942037722777773,649,593.2857142857143,28,21.714285714285715,484,417.14285714285717,36,32.42857142857143
2021-07-31,2006,1881.4285714285713,68,58.714285714285715,0.147165259348613,0.14213622246000743,637,607,33,21.714285714285715,378,423.85714285714283,28,32.42857142857143
2021-08-01,2039,1933.4285714285713,62,59.142857142857146,0.155341959334566,0.14574610768873428,647,622,28,22.857142857142858,332,424.2857142857143,24,32.57142857142857
2021-08-02,2056,1973.857142857143,47,58,0.173873501446879,0.148926154927979,678,636.8571428571429,30,24.142857142857142,439,426.57142857142856,41,33.714285714285715
2021-08-03,2079,2004.7142857142858,62,58.57142857142857,0.169705136334813,0.15151345073915715,667,645,41,28.142857142857142,405,424.42857142857144,29,32
2021-08-04,2098,2031.5714285714287,64,58.714285714285715,0.149330017958282,0.15340386422708285,673,653.7142857142857,28,30.285714285714285,440,421.14285714285717,19,29.714285714285715
2021-08-05,2137,2058.8571428571427,60,59.285714285714285,0.152834782608696,0.15559049933081098,686,662.4285714285714,27,30.714285714285715,464,420.2857142857143,34,30.142857142857142
2021-08-06,2163,2082.5714285714284,64,61,0.157451923076923,0.15795751144411027,666,664.8571428571429,37,32,415,410.42857142857144,26,28.714285714285715
2021-08-07,2150,2103.1428571428573,76,62.142857142857146,0.162114922438278,0.1600931775997767,678,670.7142857142857,31,31.714285714285715,393,412.57142857142856,19,27.428571428571427
2021-08-08,2171,2122,61,62,0.165923282783229,0.1616047952353,681,675.5714285714286,36,32.857142857142854,394,421.42857142857144,26,27.714285714285715
2021-08-09,2203,2143,73,65.71428571428571,0.187881789664851,0.16360597926643886,718,681.2857142857143,31,33,458,424.14285714285717,29,26
2021-08-10,2266,2169.714285714286,63,65.85714285714286,0.181287460107418,0.16526059694823958,720,688.8571428571429,42,33.142857142857146,435,428.42857142857144,38,27.285714285714285
2021-08-11,2289,2197,68,66.42857142857143,0.162406118652243,0.16712861133309115,721,695.7142857142857,32,33.714285714285715,463,431.7142857142857,44,30.857142857142858
2021-08-12,2339,2225.8571428571427,70,67.85714285714286,0.166023432115782,0.1690127041198177,720,700.5714285714286,33,34.57142857142857,459,431,41,31.857142857142858
2021-08-13,2358,2253.714285714286,72,69,0.170502385630087,0.17087705591312685,722,708.5714285714286,41,35.142857142857146,465,438.14285714285717,34,33
2021-08-14,2362,2284,67,67.71428571428571,0.17600173900442,0.17286088685114714,715,713.8571428571429,40,36.42857142857143,388,437.42857142857144,27,34.142857142857146
