Date Administered	Jurisdiction	Ethnicity	COVID-19 Doses Administered
5/8/2021	Adair	Not Hispanic or Latino	4
5/7/2021	Adair	Not Hispanic or Latino	20
5/6/2021	Adair	Not Hispanic or Latino	11
5/5/2021	Adair	Not Hispanic or Latino	15
5/4/2021	Adair	Not Hispanic or Latino	5
5/3/2021	Adair	Not Hispanic or Latino	17
5/2/2021	Adair	Not Hispanic or Latino	3
5/1/2021	Adair	Not Hispanic or Latino	4
4/30/2021	Adair	Not Hispanic or Latino	24
4/29/2021	Adair	Not Hispanic or Latino	21
4/28/2021	Adair	Not Hispanic or Latino	22
4/27/2021	Adair	Not Hispanic or Latino	11
4/26/2021	Adair	Not Hispanic or Latino	15
4/25/2021	Adair	Not Hispanic or Latino	7
4/24/2021	Adair	Not Hispanic or Latino	11
4/23/2021	Adair	Not Hispanic or Latino	37
4/22/2021	Adair	Not Hispanic or Latino	12
4/21/2021	Adair	Not Hispanic or Latino	12
4/20/2021	Adair	Not Hispanic or Latino	17
4/19/2021	Adair	Not Hispanic or Latino	10
4/18/2021	Adair	Not Hispanic or Latino	10
4/17/2021	Adair	Not Hispanic or Latino	12
4/16/2021	Adair	Not Hispanic or Latino	17
4/15/2021	Adair	Not Hispanic or Latino	37
4/14/2021	Adair	Not Hispanic or Latino	27
4/13/2021	Adair	Not Hispanic or Latino	33
4/12/2021	Adair	Not Hispanic or Latino	27
4/11/2021	Adair	Not Hispanic or Latino	20
4/10/2021	Adair	Not Hispanic or Latino	95
4/9/2021	Adair	Not Hispanic or Latino	91
4/8/2021	Adair	Not Hispanic or Latino	49
4/7/2021	Adair	Not Hispanic or Latino	64
4/6/2021	Adair	Not Hispanic or Latino	73
4/5/2021	Adair	Not Hispanic or Latino	35
4/4/2021	Adair	Not Hispanic or Latino	9
4/3/2021	Adair	Not Hispanic or Latino	47
4/2/2021	Adair	Not Hispanic or Latino	85
4/1/2021	Adair	Not Hispanic or Latino	60
3/31/2021	Adair	Not Hispanic or Latino	59
3/30/2021	Adair	Not Hispanic or Latino	72
3/29/2021	Adair	Not Hispanic or Latino	85
3/28/2021	Adair	Not Hispanic or Latino	14
3/27/2021	Adair	Not Hispanic or Latino	37
3/26/2021	Adair	Not Hispanic or Latino	117
3/25/2021	Adair	Not Hispanic or Latino	74
3/24/2021	Adair	Not Hispanic or Latino	35
3/23/2021	Adair	Not Hispanic or Latino	40
3/22/2021	Adair	Not Hispanic or Latino	74
3/21/2021	Adair	Not Hispanic or Latino	16
3/20/2021	Adair	Not Hispanic or Latino	40
3/19/2021	Adair	Not Hispanic or Latino	114
3/18/2021	Adair	Not Hispanic or Latino	58
3/17/2021	Adair	Not Hispanic or Latino	54
3/16/2021	Adair	Not Hispanic or Latino	99
3/15/2021	Adair	Not Hispanic or Latino	82
3/14/2021	Adair	Not Hispanic or Latino	15
3/13/2021	Adair	Not Hispanic or Latino	22
3/12/2021	Adair	Not Hispanic or Latino	81
3/11/2021	Adair	Not Hispanic or Latino	53
3/10/2021	Adair	Not Hispanic or Latino	39
3/9/2021	Adair	Not Hispanic or Latino	38
3/8/2021	Adair	Not Hispanic or Latino	76
3/7/2021	Adair	Not Hispanic or Latino	21
3/6/2021	Adair	Not Hispanic or Latino	56
3/5/2021	Adair	Not Hispanic or Latino	170
3/4/2021	Adair	Not Hispanic or Latino	111
3/3/2021	Adair	Not Hispanic or Latino	104
3/2/2021	Adair	Not Hispanic or Latino	40
3/1/2021	Adair	Not Hispanic or Latino	85
2/28/2021	Adair	Not Hispanic or Latino	45
2/27/2021	Adair	Not Hispanic or Latino	71
2/26/2021	Adair	Not Hispanic or Latino	100
2/25/2021	Adair	Not Hispanic or Latino	755
2/24/2021	Adair	Not Hispanic or Latino	100
2/23/2021	Adair	Not Hispanic or Latino	87
2/22/2021	Adair	Not Hispanic or Latino	16
2/21/2021	Adair	Not Hispanic or Latino	1
2/20/2021	Adair	Not Hispanic or Latino	1
2/19/2021	Adair	Not Hispanic or Latino	9
2/18/2021	Adair	Not Hispanic or Latino	41
2/17/2021	Adair	Not Hispanic or Latino	15
