zip,count
61814,271
61815,28
61816,78
61817,552
61818,276
61820,7194
61821,3717
61822,2903
61824,16
61826,12
61830,48
61831,25
61832,6592
61833,415
61834,2268
61839,49
61840,151
61841,250
61842,355
61843,412
61844,177
61845,52
61846,860
61847,252
61848,60
61849,196
61850,90
61851,34
61852,21
61853,2002
61854,191
61855,21
61856,974
61857,38
61858,585
61859,166
61862,89
61863,122
61864,273
61865,250
61866,2444
61870,234
61871,53
61872,62
61873,986
61874,908
61875,87
61876,121
61877,216
61878,176
61880,694
61882,82
61883,947
61884,151
61910,1002
61911,611
61912,177
61913,220
61914,333
61917,120
61919,125
61920,3552
61924,367
61925,152
61928,135
61929,83
61930,129
61931,176
61932,46
61933,155
61936,38
61937,271
61938,3849
61940,34
61941,6
61942,162
61943,265
61944,1941
61949,17
61951,1475
61953,1043
61955,36
61956,469
61957,342
62001,270
62002,4985
62006,88
62009,274
62010,1964
62011,59
62012,1093
62013,80
62014,566
62015,79
62016,589
62017,168
62018,513
62019,58
62021,122
62022,164
62024,1345
62025,4865
62026,33
62027,68
62028,84
62031,141
62032,145
62033,838
62034,2044
62035,2716
62036,105
62037,266
62040,6178
62044,274
62045,54
62046,149
62047,256
62048,188
62049,2017
62050,65
62051,146
62052,2180
62053,95
62054,134
62056,1328
62058,130
62059,60
62060,541
62061,271
62062,1245
62063,165
62065,15
62067,419
62069,468
62070,9
62074,149
62075,529
62076,12
62077,43
62079,62
62080,431
62081,26
62082,390
62083,39
62084,241
62085,29
62086,202
62087,294
62088,1102
62089,58
62090,136
62091,58
62092,539
62093,65
62094,139
62095,1772
62097,413
62201,859
62202,14
62203,936
62204,638
62205,979
62206,2049
62207,999
62208,2398
62214,165
62215,311
62216,667
62217,137
62218,305
62219,172
62220,2902
62221,3925
62222,23
62223,2543
62225,268
62226,4433
62230,1395
62231,1463
62232,1255
62233,1415
62234,4900
62236,2131
62237,492
62238,102
62239,721
62240,248
62241,179
62242,214
62243,1000
62244,146
62245,333
62246,1641
62248,70
62249,2961
62250,81
62253,103
62254,1009
62255,136
62256,18
62257,489
62258,1490
62259,17
62260,1017
62261,34
62262,293
62263,893
62264,514
62265,713
62266,41
62268,94
62269,4649
62271,295
62272,320
62273,55
62274,1927
62275,521
62277,208
62278,1248
62279,13
62280,44
62281,517
62282,85
62284,85
62285,772
62286,1137
62288,575
62289,65
62292,113
62293,786
62294,2558
62295,212
62297,66
62298,2754
62301,6841
62305,3863
62306,11
62311,136
62312,394
62313,62
62314,105
62316,133
62319,20
62320,535
62321,628
62323,31
62324,228
62325,100
62326,330
62330,214
62334,22
62336,9
62338,264
62339,199
62340,261
62341,580
62343,122
62344,15
62345,47
62346,36
62347,436
62349,120
62351,378
62352,26
62353,890
62354,240
62355,115
62356,91
62357,52
62358,94
62359,27
62360,332
62361,48
62362,66
62363,1153
62365,115
62366,262
62367,143
62370,80
62373,58
62374,23
62375,58
62376,230
62378,112
62379,320
62380,48
62401,3843
62410,139
62411,898
62413,77
62414,352
62417,615
62418,382
62419,65
62420,844
