report_date,zip,cases
2020-10-27,60649,NA
2020-10-27,60650,13
2020-10-27,60651,NA
2020-10-27,60652,NA
2020-10-27,60653,906
2020-10-27,60654,512
2020-10-27,60655,911
2020-10-27,60656,853
2020-10-27,60657,NA
2020-10-27,60659,NA
2020-10-27,60660,914
2020-10-27,60661,230
2020-10-27,60680,18
2020-10-27,60706,907
2020-10-27,60707,NA
2020-10-27,60712,423
2020-10-27,60714,NA
2020-10-27,60803,710
2020-10-27,60804,NA
2020-10-27,60805,562
2020-10-27,60827,675
2020-10-27,60901,NA
2020-10-27,60910,8
2020-10-27,60911,29
2020-10-27,60912,8
2020-10-27,60913,18
2020-10-27,60914,820
2020-10-27,60915,250
2020-10-27,60917,11
2020-10-27,60918,8
2020-10-27,60919,10
2020-10-27,60921,20
2020-10-27,60922,61
2020-10-27,60924,29
2020-10-27,60927,75
2020-10-27,60928,16
2020-10-27,60929,7
2020-10-27,60930,21
2020-10-27,60931,15
2020-10-27,60935,31
2020-10-27,60936,39
2020-10-27,60938,86
2020-10-27,60940,74
2020-10-27,60941,27
2020-10-27,60942,109
2020-10-27,60944,6
2020-10-27,60946,6
2020-10-27,60948,13
2020-10-27,60949,9
2020-10-27,60950,341
2020-10-27,60951,8
2020-10-27,60952,6
2020-10-27,60953,30
2020-10-27,60954,141
2020-10-27,60955,36
2020-10-27,60957,70
2020-10-27,60958,59
2020-10-27,60959,60
2020-10-27,60960,16
2020-10-27,60961,10
2020-10-27,60962,9
2020-10-27,60963,20
2020-10-27,60964,95
2020-10-27,60966,12
2020-10-27,60970,71
2020-10-27,60973,9
2020-10-27,61001,20
2020-10-27,61006,34
2020-10-27,61007,6
2020-10-27,61008,NA
2020-10-27,61010,183
2020-10-27,61011,71
2020-10-27,61012,58
2020-10-27,61013,14
2020-10-27,61014,17
2020-10-27,61015,14
2020-10-27,61016,189
2020-10-27,61018,19
2020-10-27,61019,48
2020-10-27,61020,69
2020-10-27,61021,485
2020-10-27,61024,32
2020-10-27,61025,93
2020-10-27,61028,30
2020-10-27,61030,28
2020-10-27,61031,12
2020-10-27,61032,729
2020-10-27,61036,151
2020-10-27,61038,27
2020-10-27,61039,15
2020-10-27,61041,25
2020-10-27,61042,17
2020-10-27,61044,8
2020-10-27,61046,51
2020-10-27,61047,20
2020-10-27,61048,75
2020-10-27,61051,26
2020-10-27,61052,16
2020-10-27,61053,80
2020-10-27,61054,52
2020-10-27,61059,11
2020-10-27,61060,24
2020-10-27,61061,98
2020-10-27,61062,59
2020-10-27,61063,92
2020-10-27,61064,51
2020-10-27,61065,305
2020-10-27,61067,10
2020-10-27,61068,598
2020-10-27,61070,22
2020-10-27,61071,359
2020-10-27,61072,352
2020-10-27,61073,648
2020-10-27,61074,117
2020-10-27,61075,20
2020-10-27,61078,12
2020-10-27,61080,351
2020-10-27,61081,528
2020-10-27,61084,63
2020-10-27,61085,113
2020-10-27,61087,44
2020-10-27,61088,151
2020-10-27,61089,14
2020-10-27,61101,711
2020-10-27,61102,758
2020-10-27,61103,861
2020-10-27,61104,723
2020-10-27,61105,7
2020-10-27,61107,NA
2020-10-27,61108,NA
2020-10-27,61109,NA
2020-10-27,61111,776
2020-10-27,61114,534
2020-10-27,61115,730
2020-10-27,61201,998
2020-10-27,61204,7
2020-10-27,61230,28
2020-10-27,61231,110
2020-10-27,61232,38
2020-10-27,61233,18
2020-10-27,61234,18
2020-10-27,61235,20
2020-10-27,61238,78
2020-10-27,61239,22
2020-10-27,61240,115
2020-10-27,61241,159
2020-10-27,61242,13
2020-10-27,61244,965
2020-10-27,61250,61
2020-10-27,61251,6
2020-10-27,61252,176
2020-10-27,61254,154
2020-10-27,61256,35
2020-10-27,61257,11
2020-10-27,61259,19
2020-10-27,61260,14
2020-10-27,61261,16
2020-10-27,61262,11
2020-10-27,61263,8
2020-10-27,61264,198
2020-10-27,61265,NA
2020-10-27,61270,209
2020-10-27,61272,20
2020-10-27,61273,55
2020-10-27,61275,76
2020-10-27,61277,79
2020-10-27,61279,21
2020-10-27,61281,45
2020-10-27,61282,258
2020-10-27,61283,12
2020-10-27,61284,57
2020-10-27,61285,128
2020-10-27,61301,243
2020-10-27,61310,89
2020-10-27,61312,16
2020-10-27,61314,11
2020-10-27,61315,12
2020-10-27,61316,8
2020-10-27,61317,12
2020-10-27,61318,7
2020-10-27,61319,21
2020-10-27,61322,121
2020-10-27,61325,31
2020-10-27,61326,46
2020-10-27,61327,13
2020-10-27,61329,31
2020-10-27,61330,29
2020-10-27,61333,17
2020-10-27,61334,13
2020-10-27,61335,10
2020-10-27,61336,10
2020-10-27,61337,13
2020-10-27,61338,7
2020-10-27,61340,6
2020-10-27,61341,160
2020-10-27,61342,353
2020-10-27,61345,13
2020-10-27,61348,97
2020-10-27,61349,19
2020-10-27,61350,436
2020-10-27,61353,20
2020-10-27,61354,271
