report_date,geoid,county,state,first_dose,first_dose_rate,second_dose,second_dose_rate,total_dose,total_dose_rate,prior_week_dose,prior_week_rate
2021-02-26,29085,Hickory,Missouri,1636,173.96852403232668,684,72.73500638026371,2320,246.7035304125904,331,35.197788175244575
2021-02-26,29087,Holt,Missouri,648,146.20938628158845,263,59.34115523465704,911,205.5505415162455,201,45.351985559566785
2021-02-26,29089,Howard,Missouri,1573,156.39292105786438,356,35.39471067806721,1929,191.7876317359316,208,20.68005567707298
2021-02-26,29091,Howell,Missouri,3958,98.69339716736485,1149,28.65050867743866,5107,127.34390584480352,584,14.562138440055856
2021-02-26,29093,Iron,Missouri,1180,116.09602518693428,439,43.19165682802047,1619,159.28768201495475,421,41.4207005116096
2021-02-26,29095,Jackson,Missouri,66958,96.17417583048939,35885,51.54291196984843,102843,147.71708780033782,15350,22.047755294333943
2021-02-26,29097,Jasper,Missouri,14173,118.18712474983323,7000,58.37224816544362,21173,176.55937291527684,2417,20.15510340226818
2021-02-26,29099,Jefferson,Missouri,17353,77.48569999687432,9649,43.08531777040513,27002,120.57101776727946,4108,18.343298310791198
2021-02-26,29101,Johnson,Missouri,3998,74.47561566260572,2280,42.472337096233375,6278,116.94795275883908,707,13.170150143437278
2021-02-26,29103,Knox,Missouri,695,176.08310108943502,443,112.23714213326578,1138,288.32024322270075,118,29.89612363820623
2021-02-26,29105,Laclede,Missouri,2791,78.55112437026821,1387,39.0363344684923,4178,117.58745883876053,530,14.916551743547888
2021-02-26,29107,Lafayette,Missouri,4239,130.04264196091663,1999,61.324661778691286,6238,191.36730373960793,746,22.88554161425898
2021-02-26,29109,Lawrence,Missouri,2709,70.90880536069521,961,25.154434090671135,3670,96.06323945136636,617,16.150141346455868
2021-02-26,29111,Lewis,Missouri,1349,135.50979407333,674,67.70467101958815,2023,203.21446509291812,265,26.619789050728276
2021-02-26,29113,Lincoln,Missouri,4591,81.28972856206953,2989,52.924199231545586,7580,134.2139277936151,2124,37.608229898896894
2021-02-26,29115,Linn,Missouri,2149,177.41269710228678,1425,117.64220259225625,3574,295.05489969454305,1020,84.20705027656237
2021-02-26,29117,Livingston,Missouri,2337,154.50218167393894,960,63.466878222927406,3297,217.96905989686633,650,42.97236546344043
2021-02-26,29121,Macon,Missouri,2099,138.10119086782024,1025,67.43864727942628,3124,205.5398381472465,294,19.34337785380617
2021-02-26,29123,Madison,Missouri,1352,111.01075621972248,649,53.28844732736678,2001,164.29920354708923,230,18.884965924952787
2021-02-26,29125,Maries,Missouri,1022,116.09678518686812,488,55.43564693854368,1510,171.53243212541182,172,19.538793593093263
2021-02-26,29127,Marion,Missouri,4420,154.50223713646534,3056,106.82326621923937,7476,261.3255033557047,289,10.102069351230424
2021-02-26,29119,McDonald,Missouri,1188,52.14643139320516,764,33.53524712492319,1952,85.68167851812834,222,9.74453515933632
2021-02-26,29129,Mercer,Missouri,406,111.41602634467618,95,26.07025246981339,501,137.48627881448957,47,12.897914379802415
2021-02-26,29131,Miller,Missouri,2283,90.59164318876235,1044,41.426927502876865,3327,132.0185706916392,492,19.52303480020634
2021-02-26,29133,Mississippi,Missouri,1791,131.94342124650066,721,53.11625165758067,2512,185.0596729040813,188,13.850007367025196
2021-02-26,29135,Moniteau,Missouri,1949,121.46329303253148,1031,64.25277327682912,2980,185.71606630936057,413,25.738501807304
2021-02-26,29137,Monroe,Missouri,1493,173.0212075559161,876,101.5181365163982,2369,274.5393440723143,230,26.65430524973925
2021-02-26,29139,Montgomery,Missouri,1876,163.31505179768436,600,52.23295899712719,2476,215.54801079481155,303,26.377644293549228
2021-02-26,29141,Morgan,Missouri,2701,133.24453653001825,902,44.497064772334866,3603,177.7416013023531,563,27.773666814661336
2021-02-26,29143,New Madrid,Missouri,1985,113.04100227790433,838,47.722095671981776,2823,160.76309794988612,232,13.211845102505695
2021-02-26,29145,Newton,Missouri,3159,54.29700928154005,1394,23.960123753867308,4553,78.25713303540735,585,10.055001718803712
2021-02-26,29147,Nodaway,Missouri,3529,157.8335345945704,1425,63.732725077150135,4954,221.56625967172056,871,38.95523055592826
2021-02-26,29149,Oregon,Missouri,780,73.26007326007327,194,18.221095144172065,974,91.48116840424534,107,10.049779280548512
2021-02-26,29151,Osage,Missouri,1616,118.69261843554902,775,56.92251193536541,2391,175.61513037091444,576,42.306279838413516
2021-02-26,29153,Ozark,Missouri,826,89.71434777886391,100,10.861301183881828,926,100.57564896274573,190,20.636472249375476
2021-02-26,29155,Pemiscot,Missouri,1070,64.21412710796376,470,28.206205365180338,1540,92.42033247314409,361,21.664766248574686
2021-02-26,29157,Perry,Missouri,2600,135.48017299775935,1764,91.91808660309519,4364,227.39825960085457,956,49.81501745609921
2021-02-26,29159,Pettis,Missouri,6219,146.83036241293826,3571,84.31117931767206,9790,231.14154173061033,1497,35.34411521662142
2021-02-26,29161,Phelps,Missouri,6194,138.7855702442303,2698,60.45261035178132,8892,199.23818059601163,433,9.701994174322204
2021-02-26,29163,Pike,Missouri,2097,113.62774315903549,977,52.93958276889732,3074,166.5673259279328,382,20.69899756163641
2021-02-26,29165,Platte,Missouri,10815,107.41741324169166,5279,52.43241095727141,16094,159.84982419896306,2329,23.13223813591307
2021-02-26,29167,Polk,Missouri,3370,106.14841879803453,1748,55.058586367645205,5118,161.20700516567973,411,12.94569736676326
2021-02-26,29169,Pulaski,Missouri,2391,45.60801144492132,1454,27.734859322842155,3845,73.34287076776347,567,10.815450643776824
2021-02-26,29171,Putnam,Missouri,472,98.72411629366242,191,39.94980129679983,663,138.67391759046225,76,15.89625601338632
2021-02-26,29173,Ralls,Missouri,1095,106.99628688684776,707,69.08344733242134,1802,176.07973421926908,123,12.0187609927692
2021-02-26,29175,Randolph,Missouri,2617,105.19334351635983,842,33.84516440228314,3459,139.03850791864298,380,15.274539753999518
2021-02-26,29177,Ray,Missouri,1981,86.60109289617486,956,41.79234972677596,2937,128.39344262295083,277,12.109289617486338
2021-02-26,29179,Reynolds,Missouri,529,84.10174880763115,82,13.036565977742448,611,97.13831478537361,106,16.85214626391097
2021-02-26,29181,Ripley,Missouri,1413,104.14977518979877,710,52.33286651433626,2123,156.48264170413503,119,8.771283260853542
2021-02-26,29195,Saline,Missouri,4129,179.7092618384401,1672,72.77158774373258,5801,252.4808495821727,816,35.51532033426184
2021-02-26,29197,Schuyler,Missouri,432,94.84083424807903,100,21.953896816684964,532,116.794731064764,75,16.46542261251372
2021-02-26,29199,Scotland,Missouri,647,131.98694410444716,151,30.80375356997144,798,162.79069767441862,10,2.039983680130559
2021-02-26,29201,Scott,Missouri,6776,175.39409313281394,3635,94.0905443532731,10411,269.484637486087,538,13.92591825641291
2021-02-26,29203,Shannon,Missouri,604,73.50614579530242,146,17.768041864427406,750,91.27418765972983,56,6.815139345259827
2021-02-26,29205,Shelby,Missouri,1270,211.20904706469318,830,138.03425910527193,2100,349.2433061699651,84,13.969732246798603
2021-02-26,29183,St. Charles,Missouri,41520,105.30320322605189,22643,57.42727434122093,64163,162.73047756727283,11874,30.114890055542872
2021-02-26,29185,St. Clair,Missouri,969,103.41515474919957,439,46.85165421558164,1408,150.26680896478123,102,10.88580576307364
