report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-05-09,29043,Christian,Missouri,26241,311.3734796796203,22616,268.35953722930884,1715,20.350044497181845
2021-05-09,29045,Clark,Missouri,1060,155.88235294117646,897,131.91176470588235,83,12.205882352941176
2021-05-09,29047,Clay,Missouri,35680,305.9693173145361,30332,260.10822121032817,3253,27.895689159870685
2021-05-09,29049,Clinton,Missouri,5955,290.84249084249086,4681,228.62026862026863,485,23.687423687423685
2021-05-09,29051,Cole,Missouri,27770,361.8712535835288,23379,304.65207193119625,1503,19.585613760750586
2021-05-09,29053,Cooper,Missouri,5218,296.10713880376807,4421,250.8795823402565,264,14.9812734082397
2021-05-09,29055,Crawford,Missouri,4931,203.0889621087315,4119,169.64579901153212,397,16.350906095551895
2021-05-09,29057,Dade,Missouri,2387,314.4927536231884,1976,260.3425559947299,84,11.067193675889328
2021-05-09,29059,Dallas,Missouri,3848,233.22625613673557,3087,187.10224862112855,177,10.727922904418449
2021-05-09,29061,Daviess,Missouri,1707,205.61310527583714,1494,179.95663695495062,71,8.552156106962176
2021-05-09,29063,DeKalb,Missouri,2391,190.30563514804203,2125,169.13403374721426,84,6.685768863419294
2021-05-09,29065,Dent,Missouri,3013,194.33694530443756,2469,159.24922600619195,176,11.351909184726523
2021-05-09,29067,Douglas,Missouri,2051,153.35726035591446,1653,123.59802602063706,142,10.617616270375356
2021-05-09,29069,Dunklin,Missouri,5380,176.81083212830288,4130,135.73024845537003,181,5.948468515840673
2021-05-09,29071,Franklin,Missouri,38995,379.3989161420885,32428,315.50578414298366,3359,32.68113756433582
2021-05-09,29073,Gasconade,Missouri,5278,357.92757357927576,4740,321.44310321443106,541,36.68791536687915
2021-05-09,29075,Gentry,Missouri,2013,302.02550637659414,1851,277.7194298574643,104,15.603900975243812
2021-05-09,29077,Greene,Missouri,95414,330.805848233014,82267,285.2244399834968,5567,19.301110498597577
2021-05-09,29079,Grundy,Missouri,2436,242.65365076202806,2160,215.1608725968722,103,10.259986054387888
2021-05-09,29081,Harrison,Missouri,1740,203.41360766892683,1500,175.35655833528173,61,7.131166705634791
2021-05-09,29083,Henry,Missouri,6412,294.601424305077,5522,253.71008499885139,296,13.599816218699747
2021-05-09,29085,Hickory,Missouri,2717,290.0298889837746,2216,236.54995730145177,48,5.123825789923143
2021-05-09,29087,Holt,Missouri,1245,279.39856373429086,1127,252.91741472172353,52,11.669658886894075
2021-05-09,29089,Howard,Missouri,3118,308.3160288737269,2658,262.8300207653515,164,16.216750716899043
2021-05-09,29091,Howell,Missouri,7436,185.4271607401127,5651,140.91566505411203,379,9.45090020447858
2021-05-09,29093,Iron,Missouri,2451,239.8004109186968,2056,201.15448586244008,153,14.969181097739948
2021-05-09,29095,Jackson,Missouri,134385,352.81006251000923,112336,294.92332613107413,13758,36.11981128855681
2021-05-09,29097,Jasper,Missouri,15237,199.99737484577219,12794,167.93111595306223,1083,14.215210143595936
2021-05-09,29099,Jefferson,Missouri,64409,288.438975020376,49125,219.99355133406775,6474,28.992127253674397
2021-05-09,29101,Johnson,Missouri,11038,205.59146193819964,9682,180.3348916910354,1006,18.737544003427146
2021-05-09,29512,Joplin,Missouri,20696,413.31655782557465,17403,347.5525732430651,1445,28.857867513430392
2021-05-09,29511,Kansas City,Missouri,179890,373.6677350405158,146972,305.2904238944615,16197,33.64442884235497
2021-05-09,29103,Knox,Missouri,1115,282.20703619336876,1044,264.2369020501139,12,3.0372057706909645
2021-05-09,29105,Laclede,Missouri,8165,229.95465682823104,6788,191.17357140845468,492,13.856422677218577
2021-05-09,29107,Lafayette,Missouri,10065,308.8465433121605,8599,263.86203933842705,620,19.024824327226977
2021-05-09,29109,Lawrence,Missouri,8896,233.28875252406053,7468,195.84087273490152,529,13.872498885479768
2021-05-09,29111,Lewis,Missouri,1995,198.9628004388152,1671,166.65004487882717,52,5.185997805924005
2021-05-09,29113,Lincoln,Missouri,13752,247.5028346201609,10696,192.50220470456958,1341,24.134765941363856
2021-05-09,29115,Linn,Missouri,3766,309.0431642868866,3243,266.1250615460364,173,14.196619071065156
2021-05-09,29117,Livingston,Missouri,4773,316.5959140355532,4001,265.3886972671796,227,15.057044308835236
2021-05-09,29121,Macon,Missouri,3998,262.09518814737123,3467,227.28464665005902,177,11.603513832437393
2021-05-09,29123,Madison,Missouri,2868,234.9856616140926,2372,194.34657927079067,174,14.256452273658336
2021-05-09,29125,Maries,Missouri,2180,245.3849617289509,1886,212.29176046825754,134,15.083295812696983
2021-05-09,29127,Marion,Missouri,8565,298.72349330357144,7740,269.9497767857143,592,20.647321428571427
2021-05-09,29119,McDonald,Missouri,3069,134.4460507293994,2487,108.94992771717703,184,8.06062995575415
2021-05-09,29129,Mercer,Missouri,723,197.32532751091702,643,175.49126637554585,15,4.093886462882096
2021-05-09,29131,Miller,Missouri,5329,212.74302367359974,4467,178.3304722743423,266,10.619186394666453
2021-05-09,29133,Mississippi,Missouri,4252,309.28135001454757,3285,238.94384637765492,151,10.98341576956648
2021-05-09,29135,Moniteau,Missouri,3844,240.88231607970923,3429,214.87655094623386,140,8.773029201654342
2021-05-09,29137,Monroe,Missouri,2692,311.07002542177025,2336,269.93297896926276,133,15.368615669054773
2021-05-09,29139,Montgomery,Missouri,3779,327.3278475530533,3119,270.1602425292334,234,20.268514508445215
2021-05-09,29141,Morgan,Missouri,5477,271.9868898048369,4670,231.91140686298854,258,12.812236182152256
2021-05-09,29143,New Madrid,Missouri,3697,207.56835663354107,3174,178.20448037729494,89,4.996912020661389
2021-05-09,29145,Newton,Missouri,8943,174.73281100408354,7593,148.3558351732088,548,10.707098337273598
2021-05-09,29147,Nodaway,Missouri,7502,332.7271920876392,6566,291.21390872399877,563,24.970062536035837
2021-05-09,29149,Oregon,Missouri,1885,176.18469015795867,1531,143.09748574633144,63,5.888400785120105
2021-05-09,29151,Osage,Missouri,3540,259.9309787796461,3030,222.48329539613775,207,15.199353843894558
2021-05-09,29153,Ozark,Missouri,1693,183.30446080554353,1292,139.88739714161974,166,17.97314854915548
2021-05-09,29155,Pemiscot,Missouri,2834,166.40244260466207,1889,110.91538958370032,102,5.989078738770477
2021-05-09,29157,Perry,Missouri,5063,264.4416588321321,4392,229.39517392666875,285,14.885615794421811
2021-05-09,29159,Pettis,Missouri,11936,281.70210757357626,10433,246.22973260012745,909,21.453352528852278
2021-05-09,29161,Phelps,Missouri,13158,293.7774900087075,11087,247.53845810355222,943,21.05427671973029
2021-05-09,29163,Pike,Missouri,4682,253.23165125209584,3729,201.68748985883497,187,10.114121910325059
