report_date,geoid,short_name,full_name,cases,case_rate,new_cases,case_avg,case_avg_rate,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2021-02-06,17860,Columbia,"Columbia, MO Metro Area",23103,130.88406084468744,5,62.857142857142854,35.610085747467835,174,0.9857519191003599,0,0.8571428571428571,0.7531489416958836
2021-02-07,17860,Columbia,"Columbia, MO Metro Area",23111,130.92938277200238,8,62.42857142857143,35.36728970828056,174,0.9857519191003599,0,0.8571428571428571,0.7528882350395916
2021-02-08,17860,Columbia,"Columbia, MO Metro Area",23199,131.42792397246694,88,57.285714285714285,32.453737238033185,174,0.9857519191003599,0,0.7142857142857143,0.7500323289796974
2021-02-09,17860,Columbia,"Columbia, MO Metro Area",23226,131.5808854771549,27,52.285714285714285,29.62111678084825,175,0.9914171600147297,1,0.42857142857142855,0.7534659433393611
2021-02-10,17860,Columbia,"Columbia, MO Metro Area",23258,131.76217318641474,32,43.857142857142854,24.84612801016506,176,0.9970824009290994,1,0.5714285714285714,0.7567288674864563
2021-02-11,17860,Columbia,"Columbia, MO Metro Area",23309,132.0511004730476,51,45.142857142857146,25.574516127726902,181,1.0254086055009488,5,1.1428571428571428,0.776524089407525
2021-02-12,17860,Columbia,"Columbia, MO Metro Area",23354,132.30603631419427,45,36.57142857142857,20.718595343981285,182,1.0310738464153189,1,1.1428571428571428,0.7793097542176929
2021-02-13,17860,Columbia,"Columbia, MO Metro Area",23360,132.34002775968048,6,36.714285714285715,20.799527357043715,182,1.0310738464153189,0,1.1428571428571428,0.779109589041096
2021-02-14,17860,Columbia,"Columbia, MO Metro Area",23367,132.37968444608106,7,36.57142857142857,20.718595343981285,182,1.0310738464153189,0,1.1428571428571428,0.7788761929216417
2021-02-15,17860,Columbia,"Columbia, MO Metro Area",23396,132.5439764325978,29,28.142857142857142,15.943606573298101,182,1.0310738464153189,0,1.1428571428571428,0.7779107539750385
2021-02-16,17860,Columbia,"Columbia, MO Metro Area",23426,132.71393366002889,30,28.571428571428573,16.186402612485384,183,1.0367390873296887,1,1.1428571428571428,0.781183300606164
2021-02-17,17860,Columbia,"Columbia, MO Metro Area",23459,132.90088661020312,33,28.714285714285715,16.26733462554781,183,1.0367390873296887,0,1,0.7800844025747048
2021-02-18,17860,Columbia,"Columbia, MO Metro Area",23499,133.1274962467779,40,27.142857142857142,15.377082481861112,191,1.0820610146446477,8,1.4285714285714286,0.81280054470403
2021-02-19,17860,Columbia,"Columbia, MO Metro Area",23538,133.3484406424383,39,26.285714285714285,14.891490403486552,191,1.0820610146446477,0,1.2857142857142858,0.811453819355935
2021-02-20,17860,Columbia,"Columbia, MO Metro Area",23542,133.3711016060958,4,26,14.729626377361699,191,1.0820610146446477,0,1.2857142857142858,0.8113159459689067
2021-02-21,17860,Columbia,"Columbia, MO Metro Area",23543,133.37676684701017,1,25.142857142857142,14.244034298987136,191,1.0820610146446477,0,1.2857142857142858,0.8112814849424457
2021-02-22,17860,Columbia,"Columbia, MO Metro Area",23593,133.66002889272866,50,28.142857142857142,15.943606573298101,191,1.0820610146446477,0,1.2857142857142858,0.8095621582672827
2021-02-23,17860,Columbia,"Columbia, MO Metro Area",23622,133.8243208792454,29,28,15.862674560235675,197,1.116052460130867,6,2,0.8339683346033359
2021-02-24,17860,Columbia,"Columbia, MO Metro Area",23662,134.05093051582017,40,29,16.429198651672664,198,1.121717701045237,1,2.142857142857143,0.8367847181134308
2021-02-25,17860,Columbia,"Columbia, MO Metro Area",23695,134.23788346599437,33,28,15.862674560235675,198,1.121717701045237,0,1,0.8356193289723571
2021-02-26,17860,Columbia,"Columbia, MO Metro Area",23711,134.32852732062432,16,24.714285714285715,14.001238259799855,198,1.121717701045237,0,1,0.8350554594913753
2021-02-27,17860,Columbia,"Columbia, MO Metro Area",23723,134.39651021159673,12,25.857142857142858,14.648694364299272,198,1.121717701045237,0,1,0.8346330565274207
2021-02-28,17860,Columbia,"Columbia, MO Metro Area",23725,134.4078406934255,2,26,14.729626377361699,198,1.121717701045237,0,1,0.8345626975763962
2021-03-01,17860,Columbia,"Columbia, MO Metro Area",23749,134.54380647537036,24,22.285714285714285,12.625394037738596,198,1.121717701045237,0,1,0.8337193144974525
2021-03-02,17860,Columbia,"Columbia, MO Metro Area",23764,134.6287850890859,15,20.285714285714285,11.49234585486462,198,1.121717701045237,0,0.14285714285714285,0.8331930651405488
2021-03-03,17860,Columbia,"Columbia, MO Metro Area",23776,134.69676798005835,12,16.285714285714285,9.226249489116666,205,1.161374387445826,7,1,0.86221399730821
2021-03-04,17860,Columbia,"Columbia, MO Metro Area",23806,134.86672520748942,30,15.857142857142858,8.983453449929387,205,1.161374387445826,0,1,0.8611274468621356
2021-03-05,17860,Columbia,"Columbia, MO Metro Area",23825,134.97436478486247,19,16.285714285714285,9.226249489116666,205,1.161374387445826,0,1,0.8604407135362014
2021-03-06,17860,Columbia,"Columbia, MO Metro Area",23825,134.97436478486247,0,14.571428571428571,8.255065332367545,205,1.161374387445826,0,1,0.8604407135362014
2021-03-07,17860,Columbia,"Columbia, MO Metro Area",23830,135.0026909894343,5,15,8.497861371554826,205,1.161374387445826,0,1,0.8602601762484263
2021-03-08,17860,Columbia,"Columbia, MO Metro Area",25821,146.28218564994478,1991,296,167.69113106534854,205,1.161374387445826,0,1,0.7939274234150497
2021-03-09,17860,Columbia,"Columbia, MO Metro Area",25851,146.45214287737588,30,298.14285714285717,168.90511126128496,205,1.161374387445826,0,1,0.7930060732660246
2021-03-10,17860,Columbia,"Columbia, MO Metro Area",25871,146.56544769566327,20,299.2857142857143,169.55256736578437,205,1.161374387445826,0,0,0.7923930269413629
2021-03-11,17860,Columbia,"Columbia, MO Metro Area",25907,146.76939636858057,36,300.14285714285717,170.03815944415894,205,1.161374387445826,0,0,0.791291928822326
2021-03-12,17860,Columbia,"Columbia, MO Metro Area",25932,146.91102739143983,25,301,170.5237515225335,205,1.161374387445826,0,0,0.7905290760450409
2021-03-13,17860,Columbia,"Columbia, MO Metro Area",25937,146.93935359601167,5,301.7142857142857,170.92841158784563,205,1.161374387445826,0,0,0.7903766819601341
2021-03-14,17860,Columbia,"Columbia, MO Metro Area",25941,146.96201455966914,4,301.57142857142856,170.8474795747832,205,1.161374387445826,0,0,0.7902548089896303
2021-03-15,17860,Columbia,"Columbia, MO Metro Area",25983,147.1999546780727,42,23.142857142857142,13.110986116113157,205,1.161374387445826,0,0,0.7889774083054305
2021-03-16,17860,Columbia,"Columbia, MO Metro Area",25996,147.2736028099595,13,20.714285714285715,11.735141894051901,206,1.167039628360196,1,0.14285714285714285,0.7924296045545469
2021-03-17,17860,Columbia,"Columbia, MO Metro Area",26029,147.4605557601337,33,22.571428571428573,12.787258063863451,207,1.1727048692745659,1,0.2857142857142857,0.7952668177801683
2021-03-18,17860,Columbia,"Columbia, MO Metro Area",26055,147.6078520239073,26,21.142857142857142,11.977937933239183,207,1.1727048692745659,0,0.2857142857142857,0.7944732297063902
2021-03-19,17860,Columbia,"Columbia, MO Metro Area",26074,147.71549160128035,19,20.285714285714285,11.49234585486462,207,1.1727048692745659,0,0.2857142857142857,0.7938943008360819
2021-03-20,17860,Columbia,"Columbia, MO Metro Area",26079,147.7438178058522,5,20.285714285714285,11.49234585486462,207,1.1727048692745659,0,0.2857142857142857,0.793742091337858
2021-03-21,17860,Columbia,"Columbia, MO Metro Area",26084,147.77214401042406,5,20.428571428571427,11.573277867927047,207,1.1727048692745659,0,0.2857142857142857,0.7935899401932218
2021-03-22,17860,Columbia,"Columbia, MO Metro Area",26100,147.86278786505397,16,16.714285714285715,9.46904552830395,207,1.1727048692745659,0,0.2857142857142857,0.7931034482758621
2021-03-23,17860,Columbia,"Columbia, MO Metro Area",26131,148.03841033339944,31,19.285714285714285,10.925821763427633,207,1.1727048692745659,0,0.14285714285714285,0.792162565535188
2021-03-24,17860,Columbia,"Columbia, MO Metro Area",26146,148.12338894711496,15,16.714285714285715,9.46904552830395,207,1.1727048692745659,0,0,0.7917081006654938
2021-03-25,17860,Columbia,"Columbia, MO Metro Area",26208,148.47463388380592,62,21.857142857142858,12.382597998551317,207,1.1727048692745659,0,0,0.7898351648351648
2021-03-26,17860,Columbia,"Columbia, MO Metro Area",26240,148.65592159306573,32,23.714285714285715,13.434714168362866,207,1.1727048692745659,0,0,0.7888719512195121
2021-03-27,17860,Columbia,"Columbia, MO Metro Area",26244,148.67858255672323,4,23.571428571428573,13.35378215530044,207,1.1727048692745659,0,0,0.7887517146776405
2021-03-28,17860,Columbia,"Columbia, MO Metro Area",26248,148.7012435203807,4,23.428571428571427,13.272850142238013,207,1.1727048692745659,0,0,0.7886315147820786
2021-03-29,17860,Columbia,"Columbia, MO Metro Area",26265,148.797552615925,17,23.571428571428573,13.35378215530044,207,1.1727048692745659,0,0,0.7881210736721872
2021-03-30,17860,Columbia,"Columbia, MO Metro Area",26269,148.8202135795825,4,19.714285714285715,11.168617802614914,207,1.1727048692745659,0,0,0.7880010658951615
2021-03-31,17860,Columbia,"Columbia, MO Metro Area",26276,148.85987026598306,7,18.571428571428573,10.521161698115499,207,1.1727048692745659,0,0,0.7877911402039883
2021-04-01,17860,Columbia,"Columbia, MO Metro Area",26299,148.99017080701358,23,13,7.3648131886808494,207,1.1727048692745659,0,0,0.7871021711852161
2021-04-02,17860,Columbia,"Columbia, MO Metro Area",26305,149.0241622524998,6,9.285714285714286,5.2605808490577495,207,1.1727048692745659,0,0,0.7869226382816955
2021-04-03,17860,Columbia,"Columbia, MO Metro Area",26308,149.0411579752429,3,9.142857142857142,5.179648835995321,207,1.1727048692745659,0,0,0.7868329025391516
2021-04-04,17860,Columbia,"Columbia, MO Metro Area",26314,149.0751494207291,6,9.428571428571429,5.341512862120176,207,1.1727048692745659,0,0,0.7866534924374857
2021-04-05,17860,Columbia,"Columbia, MO Metro Area",26348,149.2677676118177,34,11.857142857142858,6.717357084181433,207,1.1727048692745659,0,0,0.7856383786245636
2021-04-06,17860,Columbia,"Columbia, MO Metro Area",26372,149.40373339376256,24,14.714285714285714,8.335997345429972,207,1.1727048692745659,0,0,0.7849234036098893
2021-04-07,17860,Columbia,"Columbia, MO Metro Area",26406,149.59635158485116,34,18.571428571428573,10.521161698115499,207,1.1727048692745659,0,0,0.7839127471029312
2021-04-08,17860,Columbia,"Columbia, MO Metro Area",26435,149.76064357136786,29,19.428571428571427,11.00675377649006,207,1.1727048692745659,0,0,0.7830527709476074
2021-04-09,17860,Columbia,"Columbia, MO Metro Area",26458,149.89094411239836,23,21.857142857142858,12.382597998551317,207,1.1727048692745659,0,0,0.7823720613803008
