report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,mortality,mortality_avg
2020-11-29,120,120.57142857142857,994,999.8571428571429,213,199.71428571428572,129,120.42857142857143,10,18.714285714285715
2020-11-30,121,116.85714285714286,1057,1003.1428571428571,213,203.71428571428572,130,124.85714285714286,13,17.857142857142858
2020-12-01,113,112.14285714285714,1061,1007.1428571428571,215,206.57142857142858,129,128.14285714285714,18,17.285714285714285
2020-12-02,115,112.85714285714286,1023,1007.7142857142857,206,207.28571428571428,134,129.85714285714286,20,17.428571428571427
2020-12-03,132,119,997,1010.1428571428571,197,206,133,129.85714285714286,28,18.714285714285715
2020-12-04,115,117.57142857142857,988,1014.7142857142857,192,205.42857142857142,134,131,24,18.857142857142858
2020-12-05,98,116.28571428571429,975,1013.5714285714286,200,205.14285714285714,125,130.57142857142858,14,18.142857142857142
2020-12-06,108,114.57142857142857,939,1005.7142857142857,207,204.28571428571428,119,129.14285714285714,21,19.714285714285715
2020-12-07,150,118.71428571428571,974,993.8571428571429,202,202.71428571428572,124,128.28571428571428,25,21.428571428571427
2020-12-08,110,118.28571428571429,1019,987.8571428571429,203,201,123,127.42857142857143,17,21.285714285714285
2020-12-09,136,121.28571428571429,963,979.2857142857143,198,199.85714285714286,128,126.57142857142857,28,22.428571428571427
2020-12-10,121,119.71428571428571,991,978.4285714285714,201,200.42857142857142,129,126,25,22
2020-12-11,118,120.14285714285714,966,975.2857142857143,202,201.85714285714286,128,125.14285714285714,22,21.714285714285715
2020-12-12,102,120.71428571428571,957,972.7142857142857,204,202.42857142857142,130,125.85714285714286,18,22.285714285714285
2020-12-13,101,119.71428571428571,958,975.4285714285714,210,202.85714285714286,125,126.71428571428571,23,22.571428571428573
2020-12-14,130,116.85714285714286,984,976.8571428571429,197,202.14285714285714,125,126.85714285714286,20,21.857142857142858
2020-12-15,121,118.42857142857143,1011,975.7142857142857,190,200.28571428571428,116,125.85714285714286,25,23
2020-12-16,118,115.85714285714286,1003,981.4285714285714,182,198,114,123.85714285714286,25,22.571428571428573
2020-12-17,124,116.28571428571429,977,979.4285714285714,181,195.14285714285714,116,122,20,21.857142857142858
2020-12-18,105,114.42857142857143,929,974.1428571428571,183,192.42857142857142,113,119.85714285714286,16,21
2020-12-19,108,115.28571428571429,905,966.7142857142857,185,189.71428571428572,119,118.28571428571429,12,20.142857142857142
2020-12-20,121,118.14285714285714,944,964.7142857142857,191,187,123,118,10,18.285714285714285
2020-12-21,132,118.42857142857143,946,959.2857142857143,196,186.85714285714286,119,117.14285714285714,15,17.571428571428573
2020-12-22,105,116.14285714285714,962,952.2857142857143,196,187.71428571428572,120,117.71428571428571,18,16.571428571428573
2020-12-23,119,116.28571428571429,946,944.1428571428571,193,189.28571428571428,121,118.71428571428571,31,17.428571428571427
2020-12-24,94,112,929,937.2857142857143,183,189.57142857142858,113,118.28571428571429,18,17.142857142857142
2020-12-25,75,107.71428571428571,875,929.5714285714286,176,188.57142857142858,112,118.14285714285714,17,17.285714285714285
2020-12-26,115,108.71428571428571,865,923.8571428571429,179,187.71428571428572,119,118.14285714285714,15,17.714285714285715
2020-12-27,114,107.71428571428571,879,914.5714285714286,189,187.42857142857142,124,118.28571428571429,16,18.571428571428573
2020-12-28,99,103,951,915.2857142857143,184,185.71428571428572,113,117.42857142857143,16,18.714285714285715
2020-12-29,99,102.14285714285714,943,912.5714285714286,187,184.42857142857142,116,116.85714285714286,11,17.714285714285715
2020-12-30,110,100.85714285714286,900,906,186,183.42857142857142,117,116.28571428571429,25,16.857142857142858
2020-12-31,78,98.57142857142857,859,896,191,184.57142857142858,110,115.85714285714286,16,16.571428571428573
2021-01-01,100,102.14285714285714,805,886,191,186.71428571428572,115,116.28571428571429,13,16
2021-01-02,116,102.28571428571429,797,876.2857142857143,181,187,108,114.71428571428571,16,16.142857142857142
2021-01-03,100,100.28571428571429,858,873.2857142857143,179,185.57142857142858,112,113,20,16.714285714285715
2021-01-04,114,102.42857142857143,884,863.7142857142857,188,186.14285714285714,112,112.85714285714286,17,16.857142857142858
2021-01-05,95,101.85714285714286,923,860.8571428571429,171,183.85714285714286,109,111.85714285714286,22,18.428571428571427
2021-01-06,102,100.71428571428571,867,856.1428571428571,160,180.14285714285714,100,109.42857142857143,21,17.857142857142858
2021-01-07,103,104.28571428571429,830,852,159,175.57142857142858,103,108.42857142857143,24,19
2021-01-08,88,102.57142857142857,833,856,164,171.71428571428572,102,106.57142857142857,16,19.428571428571427
2021-01-09,90,98.85714285714286,798,856.1428571428571,163,169.14285714285714,102,105.71428571428571,12,18.857142857142858
2021-01-10,99,98.71428571428571,814,849.8571428571429,173,168.28571428571428,106,104.85714285714286,9,17.285714285714285
2021-01-11,118,99.28571428571429,852,845.2857142857143,163,164.71428571428572,99,103,20,17.714285714285715
2021-01-12,114,102,821,830.7142857142857,167,164.14285714285714,98,101.42857142857143,21,17.571428571428573
2021-01-13,111,103.28571428571429,779,818.1428571428571,152,163,91,100.14285714285714,21,17.571428571428573
2021-01-14,106,103.71428571428571,794,813,153,162.14285714285714,86,97.71428571428571,17,16.571428571428573
2021-01-15,91,104.14285714285714,775,804.7142857142857,151,160.28571428571428,86,95.42857142857143,8,15.428571428571429
2021-01-16,67,100.85714285714286,747,797.4285714285714,155,159.14285714285714,87,93.28571428571429,9,15
2021-01-17,75,97.42857142857143,722,784.2857142857143,143,154.85714285714286,85,90.28571428571429,16,16
2021-01-18,91,93.57142857142857,730,766.8571428571429,142,151.85714285714286,85,88.28571428571429,17,15.571428571428571
2021-01-19,86,89.57142857142857,716,751.8571428571429,141,148.14285714285714,88,86.85714285714286,11,14.142857142857142
2021-01-20,68,83.42857142857143,732,745.1428571428571,144,147,96,87.57142857142857,17,13.571428571428571
2021-01-21,82,80,676,728.2857142857143,126,143.14285714285714,87,87.71428571428571,13,13
2021-01-22,73,77.42857142857143,655,711.1428571428571,129,140,88,88,12,13.571428571428571
2021-01-23,72,78.14285714285714,632,694.7142857142857,138,137.57142857142858,91,88.57142857142857,12,14
2021-01-24,67,77,629,681.4285714285714,138,136.85714285714286,87,88.85714285714286,10,13.142857142857142
2021-01-25,74,74.57142857142857,627,666.7142857142857,132,135.42857142857142,85,88.85714285714286,7,11.714285714285714
2021-01-26,68,72,644,656.4285714285714,135,134.57142857142858,90,89.14285714285714,8,11.285714285714286
2021-01-27,60,70.85714285714286,619,640.2857142857143,127,132.14285714285714,90,88.28571428571429,15,11
2021-01-28,68,68.85714285714286,590,628,131,132.85714285714286,88,88.42857142857143,14,11.142857142857142
2021-01-29,59,66.85714285714286,576,616.7142857142857,122,131.85714285714286,83,87.71428571428571,17,11.857142857142858
2021-01-30,62,65.42857142857143,535,602.8571428571429,113,128.28571428571428,84,86.71428571428571,11,11.714285714285714
2021-01-31,51,63.142857142857146,546,591,115,125,86,86.57142857142857,7,11.285714285714286
2021-02-01,68,62.285714285714285,540,578.5714285714286,103,120.85714285714286,77,85.42857142857143,6,11.142857142857142
2021-02-02,70,62.57142857142857,529,562.1428571428571,109,117.14285714285714,82,84.28571428571429,8,11.142857142857142
2021-02-03,52,61.42857142857143,504,545.7142857142857,105,114,75,82.14285714285714,5,9.714285714285714
2021-02-04,57,59.857142857142854,471,528.7142857142857,95,108.85714285714286,68,79.28571428571429,8,8.857142857142858
2021-02-05,45,57.857142857142854,447,510.2857142857143,85,103.57142857142857,61,76.14285714285714,9,7.714285714285714
2021-02-06,44,55.285714285714285,441,496.85714285714283,91,100.42857142857143,61,72.85714285714286,11,7.714285714285714
2021-02-07,42,54,444,482.2857142857143,86,96.28571428571429,66,70,1,6.857142857142857
2021-02-08,50,51.42857142857143,453,469.85714285714283,95,95.14285714285714,68,68.71428571428571,6,6.857142857142857
2021-02-09,42,47.42857142857143,446,458,88,92.14285714285714,68,66.71428571428571,5,6.428571428571429
2021-02-10,41,45.857142857142854,421,446.14285714285717,102,91.71428571428571,65,65.28571428571429,4,6.285714285714286
2021-02-11,58,46,400,436,100,92.42857142857143,63,64.57142857142857,7,6.142857142857143
