report_date,peds_in_pt_0_11,peds_in_pt_0_11_avg,peds_in_pt_12_17,peds_in_pt_12_17_avg,peds_in_pt,peds_in_pt_avg,peds_icu_0_11,peds_icu_0_11_avg,peds_icu_12_17,peds_icu_12_17_avg,peds_icu,peds_icu_avg
2021-10-29,2,2.2857142857142856,10,5.142857142857143,12,7.428571428571429,1,1.1428571428571428,0,1.1428571428571428,1,2.2857142857142856
2021-11-01,2,2.2857142857142856,6,5.571428571428571,8,7.857142857142857,1,1.1428571428571428,0,0.8571428571428571,1,2
2021-11-02,3,2.2857142857142856,6,6.142857142857143,9,8.428571428571429,1,1.1428571428571428,0,0.5714285714285714,1,1.7142857142857142
2021-11-03,4,2.5714285714285716,7,6.571428571428571,11,9.142857142857142,3,1.4285714285714286,1,0.42857142857142855,4,1.8571428571428572
2021-11-04,5,3,5,6.857142857142857,10,9.857142857142858,3,1.7142857142857142,2,0.5714285714285714,5,2.2857142857142856
2021-11-05,5,3.4285714285714284,4,6.571428571428571,9,10,2,1.8571428571428572,0,0.42857142857142855,2,2.2857142857142856
2021-11-08,4,3.5714285714285716,6,6.285714285714286,10,9.857142857142858,0,1.5714285714285714,1,0.5714285714285714,1,2.142857142857143
2021-11-09,4,3.857142857142857,4,5.428571428571429,8,9.285714285714286,1,1.5714285714285714,1,0.7142857142857143,2,2.2857142857142856
2021-11-10,9,4.857142857142857,4,5.142857142857143,13,10,2,1.7142857142857142,1,0.8571428571428571,3,2.5714285714285716
2021-11-11,6,5.285714285714286,6,5.142857142857143,12,10.428571428571429,2,1.8571428571428572,1,1,3,2.857142857142857
2021-11-12,5,5.428571428571429,10,5.571428571428571,15,11,2,1.7142857142857142,2,1.1428571428571428,4,2.857142857142857
2021-11-15,3,5.142857142857143,7,5.857142857142857,10,11,1,1.4285714285714286,2,1.1428571428571428,3,2.5714285714285716
2021-11-16,4,5,6,6.142857142857143,10,11.142857142857142,1,1.2857142857142858,2,1.4285714285714286,3,2.7142857142857144
2021-11-17,5,5.142857142857143,6,6.142857142857143,11,11.285714285714286,1,1.4285714285714286,1,1.4285714285714286,2,2.857142857142857
2021-11-18,6,5.428571428571429,4,6.142857142857143,10,11.571428571428571,0,1.2857142857142858,1,1.4285714285714286,1,2.7142857142857144
2021-11-19,5,4.857142857142857,3,6,8,10.857142857142858,0,1,1,1.4285714285714286,1,2.4285714285714284
2021-11-22,2,4.285714285714286,2,5.428571428571429,4,9.714285714285714,0,0.7142857142857143,0,1.2857142857142858,0,2
2021-11-23,0,3.5714285714285716,2,4.285714285714286,2,7.857142857142857,0,0.42857142857142855,0,1,0,1.4285714285714286
2021-11-24,3,3.5714285714285716,2,3.5714285714285716,5,7.142857142857143,1,0.42857142857142855,0,0.7142857142857143,1,1.1428571428571428
2021-11-25,3,3.4285714285714284,2,3,5,6.428571428571429,0,0.2857142857142857,0,0.42857142857142855,0,0.7142857142857143
2021-11-26,2,3,2,2.4285714285714284,4,5.428571428571429,1,0.2857142857142857,0,0.2857142857142857,1,0.5714285714285714
2021-11-27,4,2.7142857142857144,2,2.142857142857143,6,4.857142857142857,1,0.42857142857142855,0,0.14285714285714285,1,0.5714285714285714
2021-11-28,5,2.7142857142857144,3,2.142857142857143,8,4.857142857142857,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-11-29,4,3,2,2.142857142857143,6,5.142857142857143,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-11-30,4,3.5714285714285716,5,2.5714285714285716,9,6.142857142857143,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-12-01,5,3.857142857142857,7,3.2857142857142856,12,7.142857142857143,1,0.42857142857142855,0,0,1,0.42857142857142855
2021-12-02,7,4.428571428571429,8,4.142857142857143,15,8.571428571428571,1,0.5714285714285714,0,0,1,0.5714285714285714
2021-12-03,6,5,6,4.714285714285714,12,9.714285714285714,0,0.42857142857142855,1,0.14285714285714285,1,0.5714285714285714
2021-12-06,4,5,8,5.571428571428571,12,10.571428571428571,1,0.42857142857142855,1,0.2857142857142857,2,0.7142857142857143
2021-12-07,6,5.142857142857143,6,6,12,11.142857142857142,0,0.42857142857142855,1,0.42857142857142855,1,0.8571428571428571
2021-12-08,3,5,7,6.714285714285714,10,11.714285714285714,0,0.42857142857142855,2,0.7142857142857143,2,1.1428571428571428
2021-12-09,5,5.142857142857143,8,7.142857142857143,13,12.285714285714286,0,0.42857142857142855,1,0.8571428571428571,1,1.2857142857142858
